Open_time,Symbol,Open,High,Low,Close
1632441600000,XRPUSDT,1.00160000,1.00270000,0.88580000,0.94400000
1632528000000,XRPUSDT,0.94420000,0.95770000,0.91630000,0.94000000
1632614400000,XRPUSDT,0.93990000,0.95670000,0.89150000,0.94360000
1632700800000,XRPUSDT,0.94360000,0.98180000,0.91940000,0.92180000
1632787200000,XRPUSDT,0.92170000,0.94310000,0.89030000,0.89280000
1632873600000,XRPUSDT,0.89280000,0.99410000,0.88610000,0.92680000
1632960000000,XRPUSDT,0.92660000,0.96400000,0.92170000,0.95330000
1633046400000,XRPUSDT,0.95350000,1.06950000,0.94430000,1.04220000
1633132800000,XRPUSDT,1.04220000,1.07330000,1.00790000,1.03590000
1633219200000,XRPUSDT,1.03590000,1.08840000,1.02100000,1.05520000
1633305600000,XRPUSDT,1.05520000,1.05960000,1.00590000,1.04250000
1633392000000,XRPUSDT,1.04290000,1.08800000,1.03800000,1.08390000
1633478400000,XRPUSDT,1.08400000,1.10810000,1.01710000,1.07650000
1633564800000,XRPUSDT,1.07660000,1.09420000,1.04230000,1.06780000
1633651200000,XRPUSDT,1.06770000,1.09270000,1.05390000,1.06360000
1633737600000,XRPUSDT,1.06360000,1.20890000,1.05650000,1.16040000
1633824000000,XRPUSDT,1.16040000,1.23000000,1.12620000,1.13520000
1633910400000,XRPUSDT,1.13520000,1.18200000,1.10170000,1.13640000
1633996800000,XRPUSDT,1.13630000,1.13640000,1.06340000,1.10180000
1634083200000,XRPUSDT,1.10170000,1.13870000,1.07500000,1.12750000
1634169600000,XRPUSDT,1.12770000,1.16000000,1.11740000,1.13360000
1634256000000,XRPUSDT,1.13350000,1.16560000,1.09140000,1.14130000
1634342400000,XRPUSDT,1.14150000,1.18690000,1.13000000,1.13430000
1634428800000,XRPUSDT,1.13430000,1.14070000,1.01720000,1.09440000
1634515200000,XRPUSDT,1.09430000,1.10640000,1.06420000,1.08270000
1634601600000,XRPUSDT,1.08270000,1.10090000,1.06610000,1.09110000
1634688000000,XRPUSDT,1.09110000,1.15290000,1.08680000,1.14550000
1634774400000,XRPUSDT,1.14510000,1.16400000,1.08510000,1.08860000
1634860800000,XRPUSDT,1.08850000,1.12880000,1.07390000,1.08850000
1634947200000,XRPUSDT,1.08850000,1.10180000,1.07630000,1.09340000
1635033600000,XRPUSDT,1.09350000,1.09610000,1.05220000,1.08210000
1635120000000,XRPUSDT,1.08210000,1.10340000,1.07780000,1.09510000
1635206400000,XRPUSDT,1.09510000,1.16060000,1.09050000,1.10750000
